ONS_Code,Population_12m,PCV_12m,Population_24m,PCV_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E08000028,1124,85.4092526690392,1142,86.6024518388792,2020/2021,Q2,1,1
E08000029,615,90.4065040650407,590,89.8305084745763,2020/2021,Q2,1,1
E08000030,991,90.8173562058527,985,90.3553299492386,2020/2021,Q2,1,1
E08000031,849,87.6325088339223,856,88.6682242990654,2020/2021,Q2,1,1
E10000028,2230,95.8295964125561,2151,94.1422594142259,2020/2021,Q2,1,1
E10000031,1521,94.7403024326101,1622,94.4512946979038,2020/2021,Q2,1,1
E10000034,1444,95.2908587257618,1543,93.1950745301361,2020/2021,Q2,1,1
E06000031,685,89.051094890511,712,88.623595505618,2020/2021,Q2,1,1
E06000032,883,90.4869762174405,921,85.4505971769816,2020/2021,Q2,1,1
E06000033,496,94.1532258064516,502,91.2350597609562,2020/2021,Q2,1,1
E06000034,656,93.2926829268293,629,94.2766295707472,2020/2021,Q2,1,1
E06000055,536,95.1492537313433,567,93.4744268077601,2020/2021,Q2,1,1
E06000056,816,95.2205882352941,895,94.3016759776536,2020/2021,Q2,1,1
E10000003,1739,95.2846463484761,1776,94.2004504504505,2020/2021,Q2,1,1
E10000012,4161,94.5205479452055,4303,93.9344643272136,2020/2021,Q2,1,1
E10000015,3526,92.3142370958593,3576,90.2404921700224,2020/2021,Q2,1,1
E10000020,2081,95.4829408938011,2217,94.7677041046459,2020/2021,Q2,1,1
E10000029,1889,95.5532027527793,1863,95.5984970477724,2020/2021,Q2,1,1
E09000002,921,86.8621064060804,892,82.2869955156951,2020/2021,Q2,1,1
E09000003,1312,89.4817073170732,1335,83.5205992509363,2020/2021,Q2,1,1
E09000004,785,89.0445859872611,794,86.272040302267,2020/2021,Q2,1,1
E09000005,1173,86.615515771526,1164,81.1855670103093,2020/2021,Q2,1,1
E09000006,1009,91.4767096134787,1045,88.9952153110048,2020/2021,Q2,1,1
E09000007,653,82.5421133231241,697,75.7532281205165,2020/2021,Q2,1,1
E09000008,1325,88.9056603773585,1293,82.3665893271462,2020/2021,Q2,1,1
E09000009,1208,92.5496688741722,1316,83.2066869300912,2020/2021,Q2,1,1
E09000010,1135,86.6960352422908,1190,77.0588235294118,2020/2021,Q2,1,1
E09000011,1044,88.0268199233717,1040,82.1153846153846,2020/2021,Q2,1,1
E09000012,1083,71.3758079409049,1069,72.0299345182414,2020/2021,Q2,1,1
E09000013,558,84.0501792114695,528,78.5984848484848,2020/2021,Q2,1,1
E09000014,969,85.1393188854489,961,79.8126951092612,2020/2021,Q2,1,1
E09000015,887,84.4419391206313,884,80.2036199095023,2020/2021,Q2,1,1
E09000016,869,92.174913693901,890,88.9887640449438,2020/2021,Q2,1,1
E09000017,1035,89.7584541062802,1002,84.6307385229541,2020/2021,Q2,1,1
E09000018,981,89.6024464831804,995,82.6130653266332,2020/2021,Q2,1,1
E09000019,656,88.2621951219512,676,81.6568047337278,2020/2021,Q2,1,1
E09000020,563,80.1065719360569,539,73.2838589981447,2020/2021,Q2,1,1
E09000021,567,91.710758377425,573,88.1326352530541,2020/2021,Q2,1,1
E09000022,1051,84.7764034253092,1075,82.6046511627907,2020/2021,Q2,1,1
E09000023,1126,87.4777975133215,1083,82.6408125577101,2020/2021,Q2,1,1
E09000024,646,90.2476780185759,617,85.2512155591572,2020/2021,Q2,1,1
E09000025,1465,87.8498293515358,1488,83.6021505376344,2020/2021,Q2,1,1
E09000026,1131,88.6825817860301,1174,83.901192504259,2020/2021,Q2,1,1
E09000027,547,90.8592321755027,628,87.8980891719745,2020/2021,Q2,1,1
E09000028,975,79.4871794871795,959,81.4389989572471,2020/2021,Q2,1,1
E09000029,570,91.9298245614035,633,90.3633491311216,2020/2021,Q2,1,1
E09000030,1095,91.5068493150685,1065,86.3849765258216,2020/2021,Q2,1,1
E09000031,1100,88.4545454545455,1153,83.868169991327,2020/2021,Q2,1,1
E09000032,1067,93.3458294283036,1242,86.7149758454106,2020/2021,Q2,1,1
E09000033,461,78.3080260303688,507,73.767258382643,2020/2021,Q2,1,1
E06000035,891,92.4803591470258,982,89.6130346232179,2020/2021,Q2,1,1
E06000036,352,95.4545454545454,385,95.3246753246753,2020/2021,Q2,1,1
E06000037,374,93.048128342246,384,95.0520833333333,2020/2021,Q2,1,1
E06000038,688,92.7325581395349,659,93.1714719271624,2020/2021,Q2,1,1
E06000039,565,93.0973451327434,648,90.1234567901235,2020/2021,Q2,1,1
E06000040,407,95.3316953316953,439,93.1662870159453,2020/2021,Q2,1,1
E06000041,349,94.269340974212,391,94.6291560102302,2020/2021,Q2,1,1
E06000042,883,95.356738391846,989,93.2254802831143,2020/2021,Q2,1,1
E06000043,654,93.1192660550459,621,86.634460547504,2020/2021,Q2,1,1
E06000044,605,96.0330578512397,600,95.1666666666667,2020/2021,Q2,1,1
E06000045,772,95.5958549222798,825,93.9393939393939,2020/2021,Q2,1,1
E06000046,259,91.1196911196911,311,86.8167202572347,2020/2021,Q2,1,1
E10000002,1488,93.4811827956989,1589,94.3989930774072,2020/2021,Q2,1,1
E10000011,1180,93.9830508474576,1211,93.476465730801,2020/2021,Q2,1,1
E10000014,3477,94.8231233822261,3642,97.6386600768808,2020/2021,Q2,1,1
E10000016,4414,93.0222020842773,4537,91.0954375137756,2020/2021,Q2,1,1
E10000025,1959,92.7514037774375,1956,94.0695296523517,2020/2021,Q2,1,1
E10000030,3084,90.0778210116732,3325,91.8195488721805,2020/2021,Q2,1,1
E10000032,2234,95.9265890778872,2334,94.515852613539,2020/2021,Q2,1,1
E06000022,461,94.7939262472885,454,94.9339207048458,2020/2021,Q2,1,1
E06000023,1444,93.3518005540166,1506,88.1806108897742,2020/2021,Q2,1,1
E06000024,547,96.3436928702011,556,95.1438848920863,2020/2021,Q2,1,1
E06000025,765,97.3856209150327,776,94.201030927835,2020/2021,Q2,1,1
E06000026,724,95.5801104972376,731,95.3488372093023,2020/2021,Q2,1,1
E06000027,314,95.5414012738854,344,93.0232558139535,2020/2021,Q2,1,1
E06000030,672,92.7083333333333,660,92.4242424242424,2020/2021,Q2,1,1
E06000052,1269,91.9621749408983,1236,93.3656957928803,2020/2021,Q2,1,1
E06000054,1241,96.6156325543916,1293,96.0556844547564,2020/2021,Q2,1,1
