ONS_Code,UTLA_Name,Population_12m,PCV_12m,Population_24m,PCV_24m,Year,Quarter,Timepoint,Vaccine_Schedule
E10000002,Buckinghamshire,1436,95.7520891364902,1467,92.9107021131561,2021/2022,Q1,0,1
E06000022,Bath and North East Somerset,452,94.2477876106195,463,96.7602591792657,2021/2022,Q1,0,1
E06000023,Bristol,1324,93.9577039274925,1361,89.3460690668626,2021/2022,Q1,0,1
E06000024,North Somerset,478,96.4435146443515,498,94.3775100401606,2021/2022,Q1,0,1
E06000025,South Gloucestershire,643,96.1119751166408,742,94.6091644204852,2021/2022,Q1,0,1
E06000026,Plymouth,635,97.6377952755906,686,96.2099125364432,2021/2022,Q1,0,1
E06000027,Torbay,260,95,306,94.1176470588235,2021/2022,Q1,0,1
E06000030,Swindon,574,96.5156794425087,691,92.4746743849493,2021/2022,Q1,0,1
E06000052,Cornwall,1188,94.4444444444444,1216,89.6381578947369,2021/2022,Q1,0,1
E06000054,Wiltshire,1079,96.7562557924004,1233,94.728304947283,2021/2022,Q1,0,1
E10000008,Devon,1575,97.1428571428572,1676,94.272076372315,2021/2022,Q1,0,1
E06000059,Dorset,626,,674,96.4391691394659,2021/2022,Q1,0,1
E10000013,Gloucestershire,1482,95.6140350877193,1618,94.3757725587145,2021/2022,Q1,0,1
E10000027,Somerset,1252,95.7667731629393,1334,93.6281859070465,2021/2022,Q1,0,1
E06000058,"Bournemouth, Christchurch and Poole",979,96.1184882533197,956,91.7364016736402,2021/2022,Q1,0,1
E06000001,Hartlepool,214,95.7943925233645,258,93.0232558139535,2021/2022,Q2,1,1
E06000002,Middlesbrough,476,93.6974789915966,476,87.1848739495798,2021/2022,Q2,1,1
E06000003,Redcar and Cleveland,273,98.9010989010989,349,95.4154727793696,2021/2022,Q2,1,1
E06000004,Stockton-on-Tees,499,97.1943887775551,555,95.8558558558559,2021/2022,Q2,1,1
E06000005,Darlington,267,97.752808988764,251,93.2270916334661,2021/2022,Q2,1,1
E06000047,County Durham,1285,98.2879377431907,1362,96.9162995594714,2021/2022,Q2,1,1
E08000021,Newcastle upon Tyne,763,94.6264744429882,755,90.4635761589404,2021/2022,Q2,1,1
E08000022,North Tyneside,505,97.4257425742574,546,96.5201465201465,2021/2022,Q2,1,1
E08000023,South Tyneside,379,99.2084432717678,396,97.2222222222222,2021/2022,Q2,1,1
E08000024,Sunderland,675,99.2592592592593,678,98.0825958702065,2021/2022,Q2,1,1
E08000037,Gateshead,465,97.2043010752688,541,93.1608133086876,2021/2022,Q2,1,1
E06000057,Northumberland,718,97.6323119777159,713,93.5483870967742,2021/2022,Q2,1,1
E06000006,Halton,325,95.0769230769231,373,90.0804289544236,2021/2022,Q2,1,1
E06000007,Warrington,500,95.4,590,94.2372881355932,2021/2022,Q2,1,1
E06000008,Blackburn with Darwen,484,86.9834710743802,541,89.09426987061,2021/2022,Q2,1,1
E06000009,Blackpool,408,94.6078431372549,435,92.6436781609195,2021/2022,Q2,1,1
E06000049,Cheshire East,915,96.0655737704918,1029,94.0719144800778,2021/2022,Q2,1,1
E06000050,Cheshire West and Chester,896,96.5401785714286,944,91.5254237288136,2021/2022,Q2,1,1
E08000001,Bolton,886,94.6952595936795,963,91.588785046729,2021/2022,Q2,1,1
E08000002,Bury,557,92.45960502693,557,92.2800718132855,2021/2022,Q2,1,1
E08000003,Manchester,1827,91.9540229885057,1939,85.3532748839608,2021/2022,Q2,1,1
E08000004,Oldham,747,95.1807228915663,787,90.0889453621347,2021/2022,Q2,1,1
E08000005,Rochdale,720,93.0555555555556,744,93.010752688172,2021/2022,Q2,1,1
E08000006,Salford,883,90.8267270668177,882,89.3424036281179,2021/2022,Q2,1,1
E08000007,Stockport,802,96.7581047381546,852,94.0140845070423,2021/2022,Q2,1,1
E08000008,Tameside,596,95.3020134228188,679,93.0780559646539,2021/2022,Q2,1,1
E08000009,Trafford,547,95.9780621572212,621,93.3977455716586,2021/2022,Q2,1,1
E08000010,Wigan,842,96.1995249406176,868,94.2396313364055,2021/2022,Q2,1,1
E08000011,Knowsley,482,89.2116182572614,537,83.6126629422719,2021/2022,Q2,1,1
E08000012,Liverpool,1425,88.7017543859649,1582,81.795195954488,2021/2022,Q2,1,1
E08000013,St. Helens,488,96.516393442623,494,91.0931174089069,2021/2022,Q2,1,1
E08000014,Sefton,613,92.6590538336052,654,90.2140672782875,2021/2022,Q2,1,1
E08000015,Wirral,790,94.0506329113924,857,93.8156359393232,2021/2022,Q2,1,1
E10000006,Cumbria,1103,96.7361740707162,1164,95.53264604811,2021/2022,Q2,1,1
E10000017,Lancashire,2834,91.7784050811574,3100,88,2021/2022,Q2,1,1
E06000010,Kingston upon Hull,828,93.9613526570048,823,89.3074119076549,2021/2022,Q2,1,1
E06000011,East Riding of Yorkshire,622,97.2668810289389,730,96.027397260274,2021/2022,Q2,1,1
E06000012,North East Lincolnshire,418,97.6076555023923,500,93.2,2021/2022,Q2,1,1
E06000013,North Lincolnshire,430,94.8837209302326,457,91.6849015317287,2021/2022,Q2,1,1
E06000014,York,468,95.5128205128205,488,92.0081967213115,2021/2022,Q2,1,1
E08000016,Barnsley,631,96.513470681458,727,94.7730398899587,2021/2022,Q2,1,1
E08000017,Doncaster,873,94.7308132875143,952,91.0714285714286,2021/2022,Q2,1,1
E08000018,Rotherham,686,98.1049562682216,676,93.7869822485207,2021/2022,Q2,1,1
E08000019,Sheffield,1487,94.6872898453262,1550,89.2903225806452,2021/2022,Q2,1,1
E08000032,Bradford,1761,92.6746166950596,1891,84.8228450555262,2021/2022,Q2,1,1
E08000033,Calderdale,562,95.3736654804271,604,90.8940397350993,2021/2022,Q2,1,1
E08000034,Kirklees,1166,94.1680960548885,1273,91.5946582875098,2021/2022,Q2,1,1
E08000035,Leeds,2311,93.8554738208568,2415,87.0393374741201,2021/2022,Q2,1,1
E08000036,Wakefield,967,96.2771458117891,1024,93.75,2021/2022,Q2,1,1
E10000023,North Yorkshire,1219,96.1443806398687,1321,92.2028766086298,2021/2022,Q2,1,1
E06000015,Derby,814,96.0687960687961,861,88.7340301974449,2021/2022,Q2,1,1
E06000016,Leicester,1196,92.4749163879599,1206,87.8109452736319,2021/2022,Q2,1,1
E06000017,Rutland,76,100,91,98.9010989010989,2021/2022,Q2,1,1
E06000018,Nottingham,921,92.1824104234528,975,84.3076923076923,2021/2022,Q2,1,1
E10000007,Derbyshire,1842,98.1541802388708,1934,95.3981385729059,2021/2022,Q2,1,1
E10000018,Leicestershire,1723,97.0980847359257,1851,95.1377633711507,2021/2022,Q2,1,1
E10000019,Lincolnshire,1719,95.4043048283886,1824,90.625,2021/2022,Q2,1,1
E10000024,Nottinghamshire,2022,95.4995054401583,2086,91.7545541706616,2021/2022,Q2,1,1
E06000019,Herefordshire,423,95.5082742316785,418,94.9760765550239,2021/2022,Q2,1,1
E06000020,Telford and Wrekin,561,95.5436720142603,580,90.8620689655172,2021/2022,Q2,1,1
E06000021,Stoke-on-Trent,833,97.8391356542617,872,91.743119266055,2021/2022,Q2,1,1
E06000051,Shropshire,692,97.6878612716763,732,93.9890710382514,2021/2022,Q2,1,1
E08000025,Birmingham,3858,88.8284085018144,3921,82.1729150726855,2021/2022,Q2,1,1
E08000026,Coventry,1082,91.9593345656192,1202,88.6855241264559,2021/2022,Q2,1,1
E08000027,Dudley,912,96.0526315789474,926,92.6565874730022,2021/2022,Q2,1,1
E08000028,Sandwell,1129,91.585473870682,1135,85.4625550660793,2021/2022,Q2,1,1
E08000029,Solihull,545,95.9633027522936,645,91.7829457364341,2021/2022,Q2,1,1
E08000030,Walsall,828,94.3236714975845,1015,88.6699507389163,2021/2022,Q2,1,1
E08000031,Wolverhampton,823,91.7375455650061,879,83.5039817974972,2021/2022,Q2,1,1
E10000028,Staffordshire,2125,96.7058823529412,2285,93.8730853391685,2021/2022,Q2,1,1
E10000031,Warwickshire,1527,95.6777996070727,1581,90.1960784313726,2021/2022,Q2,1,1
E10000034,Worcestershire,1385,96.6064981949459,1493,94.10582719357,2021/2022,Q2,1,1
E06000031,Peterborough,688,86.6279069767442,715,82.2377622377623,2021/2022,Q2,1,1
E06000032,Luton,836,92.2248803827751,883,84.0317100792752,2021/2022,Q2,1,1
E06000033,Southend-on-Sea,523,94.8374760994264,499,89.7795591182365,2021/2022,Q2,1,1
E06000034,Thurrock,602,95.8471760797342,663,87.7828054298643,2021/2022,Q2,1,1
E06000055,Bedford,542,95.2029520295203,548,92.5182481751825,2021/2022,Q2,1,1
E06000056,Central Bedfordshire,838,95.8233890214797,868,92.9723502304148,2021/2022,Q2,1,1
E10000003,Cambridgeshire,1653,97.0356926799758,1764,93.2539682539683,2021/2022,Q2,1,1
E10000012,Essex,3951,95.1910908630726,4276,92.6566884939196,2021/2022,Q2,1,1
E10000015,Hertfordshire,3310,94.4410876132931,3544,92.6636568848759,2021/2022,Q2,1,1
E10000020,Norfolk,1997,96.4947421131698,2113,92.5224798864174,2021/2022,Q2,1,1
E10000029,Suffolk,1816,95.8700440528634,1933,94.3093636833937,2021/2022,Q2,1,1
E09000002,Barking and Dagenham,864,88.3101851851852,938,76.226012793177,2021/2022,Q2,1,1
E09000003,Barnet,1224,88.2352941176471,1320,81.0606060606061,2021/2022,Q2,1,1
E09000004,Bexley,709,67.8420310296192,774,73.6434108527132,2021/2022,Q2,1,1
E09000005,Brent,1115,88.3408071748879,1137,67.6341248900616,2021/2022,Q2,1,1
E09000006,Bromley,914,93.2166301969366,998,77.5551102204409,2021/2022,Q2,1,1
E09000007,Camden,621,79.8711755233494,650,67.6923076923077,2021/2022,Q2,1,1
E09000008,Croydon,1252,89.1373801916933,1294,80.4482225656878,2021/2022,Q2,1,1
E09000009,Ealing,1223,90.3515944399019,1242,76.6505636070854,2021/2022,Q2,1,1
E09000010,Enfield,1076,86.8959107806692,1152,73.5243055555556,2021/2022,Q2,1,1
E09000011,Greenwich,929,87.51345532831,993,65.1560926485398,2021/2022,Q2,1,1
E09000012,Hackney,1018,72.8880157170923,1064,65.4135338345865,2021/2022,Q2,1,1
E09000013,Hammersmith and Fulham,557,87.7917414721724,564,67.0212765957447,2021/2022,Q2,1,1
E09000014,Haringey,889,85.7142857142857,926,75.1619870410367,2021/2022,Q2,1,1
E09000015,Harrow,776,88.1443298969072,874,71.0526315789474,2021/2022,Q2,1,1
E09000016,Havering,867,91.5801614763553,866,83.3718244803695,2021/2022,Q2,1,1
E09000017,Hillingdon,962,90.4365904365904,1032,76.937984496124,2021/2022,Q2,1,1
E09000018,Hounslow,908,89.8678414096916,977,75.9467758444217,2021/2022,Q2,1,1
E09000019,Islington,622,85.3697749196141,629,72.972972972973,2021/2022,Q2,1,1
E09000020,Kensington and Chelsea,514,85.7976653696498,525,66.6666666666667,2021/2022,Q2,1,1
E09000021,Kingston upon Thames,487,92.1971252566735,542,89.2988929889299,2021/2022,Q2,1,1
E09000022,Lambeth,923,89.1657638136512,961,73.3610822060354,2021/2022,Q2,1,1
E09000023,Lewisham,965,88.2901554404145,1024,67.28515625,2021/2022,Q2,1,1
E09000024,Merton,614,88.9250814332248,641,82.8393135725429,2021/2022,Q2,1,1
E09000025,Newham,1500,88.4,1480,75.8783783783784,2021/2022,Q2,1,1
E09000026,Redbridge,1143,88.8013998250219,1170,78.8888888888889,2021/2022,Q2,1,1
E09000027,Richmond upon Thames,486,89.0946502057613,541,82.2550831792976,2021/2022,Q2,1,1
E09000028,Southwark,786,86.5139949109415,876,74.3150684931507,2021/2022,Q2,1,1
E09000029,Sutton,553,93.4900542495479,570,87.8947368421053,2021/2022,Q2,1,1
E09000030,Tower Hamlets,1118,90.2504472271914,1096,82.7554744525548,2021/2022,Q2,1,1
E09000031,Waltham Forest,1086,87.1086556169429,1090,78.9908256880734,2021/2022,Q2,1,1
E09000032,Wandsworth,1062,90.9604519774011,1018,82.9076620825147,2021/2022,Q2,1,1
E09000033,Westminster,442,84.1628959276018,442,63.3484162895928,2021/2022,Q2,1,1
E06000035,Medway,886,93.7923250564334,909,89.7689768976898,2021/2022,Q2,1,1
E06000036,Bracknell Forest,350,98.5714285714286,367,95.0953678474115,2021/2022,Q2,1,1
E06000037,West Berkshire,372,96.236559139785,375,97.3333333333333,2021/2022,Q2,1,1
E06000038,Reading,643,94.556765163297,686,90.9620991253644,2021/2022,Q2,1,1
E06000039,Slough,573,90.2268760907504,559,88.9087656529517,2021/2022,Q2,1,1
E06000040,Windsor and Maidenhead,393,96.4376590330789,399,93.483709273183,2021/2022,Q2,1,1
E06000041,Wokingham,352,95.1704545454546,369,94.3089430894309,2021/2022,Q2,1,1
E06000042,Milton Keynes,874,95.0800915331808,871,92.9965556831229,2021/2022,Q2,1,1
E06000043,Brighton and Hove,581,94.4922547332186,627,89.4736842105263,2021/2022,Q2,1,1
E06000044,Portsmouth,627,94.7368421052632,598,95.1505016722408,2021/2022,Q2,1,1
E06000045,Southampton,718,94.2896935933148,726,95.5922865013774,2021/2022,Q2,1,1
E06000046,Isle of Wight,271,94.0959409594096,259,91.8918918918919,2021/2022,Q2,1,1
E10000011,East Sussex,1172,93.7713310580205,1231,92.5264012997563,2021/2022,Q2,1,1
E10000014,Hampshire,3327,94.2590922753231,3587,94.0618901589072,2021/2022,Q2,1,1
E10000016,Kent,4154,94.5113143957631,4530,90.7726269315673,2021/2022,Q2,1,1
E10000025,Oxfordshire,1772,95.372460496614,2036,92.2888015717092,2021/2022,Q2,1,1
E10000030,Surrey,3073,88.0247315327042,3207,85.1574680386654,2021/2022,Q2,1,1
E10000032,West Sussex,2116,97.2117202268431,2299,92.9969551979121,2021/2022,Q2,1,1
E10000002,Buckinghamshire,1418,95.345557122708,1527,92.8618205631958,2021/2022,Q2,1,1
E06000022,Bath and North East Somerset,487,96.0985626283368,467,95.0749464668094,2021/2022,Q2,1,1
E06000023,Bristol,1366,94.0702781844803,1422,88.6779184247539,2021/2022,Q2,1,1
E06000024,North Somerset,509,94.106090373281,566,93.9929328621908,2021/2022,Q2,1,1
E06000025,South Gloucestershire,774,97.0284237726098,787,95.2986022871665,2021/2022,Q2,1,1
E06000026,Plymouth,679,96.9072164948454,725,94.2068965517242,2021/2022,Q2,1,1
E06000027,Torbay,283,95.0530035335689,323,93.8080495356037,2021/2022,Q2,1,1
E06000030,Swindon,676,95.5621301775148,692,91.6184971098266,2021/2022,Q2,1,1
E06000052,Cornwall,1256,94.9044585987261,1307,91.4307574598317,2021/2022,Q2,1,1
E06000054,Wiltshire,1107,98.193315266486,1275,94.9803921568627,2021/2022,Q2,1,1
E10000008,Devon,1576,96.5736040609137,1717,94.9330227140361,2021/2022,Q2,1,1
E06000059,Dorset,650,96,698,94.8424068767908,2021/2022,Q2,1,1
E10000013,Gloucestershire,1550,94.9677419354839,1701,94.0035273368607,2021/2022,Q2,1,1
E10000027,Somerset,1286,95.1788491446345,1469,93.6010891763104,2021/2022,Q2,1,1
E06000058,"Bournemouth, Christchurch and Poole",975,96.5128205128205,988,92.914979757085,2021/2022,Q2,1,1
E06000001,Hartlepool,210,99.0476190476191,218,94.4954128440367,2021/2022,Q3,2,1
E06000002,Middlesbrough,460,94.5652173913044,450,89.1111111111111,2021/2022,Q3,2,1
E06000003,Redcar and Cleveland,309,97.0873786407767,350,91.7142857142857,2021/2022,Q3,2,1
E06000004,Stockton-on-Tees,450,99.3333333333333,502,96.2151394422311,2021/2022,Q3,2,1
E06000005,Darlington,270,96.2962962962963,279,92.1146953405018,2021/2022,Q3,2,1
